,y,prd_y
792,3.81,3.847223433121171
793,3.7,3.921693308645463
794,3.87,3.958964506064244
795,5.0,3.7929875217396396
796,4.18,3.8831578391765826
797,3.84,4.016182947846303
798,3.96,3.983258228770818
799,4.45,4.261083577522433
800,3.86,4.002415346999085
801,4.02,4.029317645425742
802,3.68,4.034208620657287
803,3.33,3.8392190150769383
804,3.63,3.809372488839394
805,3.66,3.893924766738166
806,3.87,3.9575118960308804
807,4.08,3.907972788656093
808,3.88,3.880728310567988
809,4.15,3.9125599611954445
810,3.71,3.8284286706190938
811,3.8,3.853486077890205
812,3.91,3.9503210893239564
813,4.28,4.2000113128455485
814,3.67,3.8848680551844725
815,4.11,3.876769456722734
816,3.68,3.8981434737505958
817,4.33,4.111480925663123
818,3.82,3.9208912402221228
819,3.84,3.9221569165515304
820,3.91,3.9125727681574456
821,4.39,4.2413025203612165
822,4.29,4.0729583704002135
823,4.12,4.060294528096966
824,3.94,3.8263114037151866
825,3.62,3.8158467744075675
826,3.47,3.669535191088632
827,4.04,4.037741405342469
828,3.82,4.023081229295171
829,4.0,3.965809430082586
830,3.81,3.9537566861115407
831,4.38,3.9627011552344196
832,3.97,3.9201282274731493
833,3.6,3.9076417202410467
834,4.16,3.9792333444893564
835,3.89,3.9499193362628477
836,3.81,3.829513201334841
837,4.19,3.891388952223306
838,4.24,3.991557319485761
839,3.98,3.8137638901723183
840,3.83,3.9460021801068046
841,4.38,4.055908240191332
842,3.81,3.9015920270224913
843,3.97,4.040162837931412
844,4.41,4.206413481186489
845,4.01,3.9884711446052727
846,4.13,4.090144420500943
847,3.84,3.8802122833905757
848,4.09,3.9861472225298153
849,3.75,4.1367591154079015
850,3.91,3.947909343316519
851,4.15,3.7911980643895933
852,3.86,3.9382425136814345
853,3.97,3.978604725405375
854,3.97,3.950501640090487
855,3.74,3.973176453891097
856,4.36,3.8671946490423292
857,4.29,4.176123652953892
858,4.13,3.9689516140828363
859,3.75,3.9443759848624977
860,3.56,3.420240863458415
861,3.88,3.907458860163604
862,3.91,3.8910873198390923
863,3.16,3.689520932894928
864,3.4,4.0721396670311485
865,3.76,3.921511402596576
866,4.14,3.945181073710629
867,3.88,3.9174266879706106
868,3.0,3.8749639268741247
869,3.84,3.9510042301636807
870,3.94,3.9910231708881905
871,4.32,4.132082283204104
872,4.06,4.076850021964814
873,3.68,3.7975765401003767
874,3.59,3.7623220548226173
875,3.9,3.9057668155423673
876,3.51,3.6910638395106834
877,3.81,3.816684579869847
878,4.26,4.085651641431154
879,3.61,3.866017992651942
880,3.63,3.8995492511603342
881,4.0,3.9455247728521816
882,3.97,3.950253889931281
883,4.37,4.120947997365498
884,3.95,4.000951305772315
885,5.0,3.8706856826855014
886,4.29,3.9469233622677353
887,4.02,3.937621904382254
888,3.5,3.95532625580301
889,3.54,3.9507810425796843
890,4.16,3.884878535502932
891,3.92,3.7342845586886964
892,3.78,3.8933630643101105
893,4.29,3.9727718234997087
894,3.8,3.8275589375440737
895,4.2,4.014594312993891
896,3.95,3.9031651686200974
897,3.76,3.7431852627291566
898,3.83,3.976882308932455
899,3.89,3.8719259277974545
900,4.12,4.002876296651449
901,3.84,3.8982453131066115
902,4.01,3.9387068817499418
903,4.18,4.222161678396221
904,4.09,3.9849670846694036
905,3.58,3.8347199359483644
906,3.75,4.053885586624885
907,3.51,3.8757949365992803
908,4.42,4.262249038537721
909,3.92,3.9605212387106685
910,3.93,3.9045773223988784
911,3.52,3.925606619167906
912,3.97,3.930200653876778
913,4.05,3.9202625311734365
914,4.42,4.410598907577388
915,3.64,3.888202125087384
916,4.18,3.9802572669039917
917,3.91,4.012530847426332
918,3.85,3.827613026079549
919,3.85,3.9269693636757226
920,4.29,3.869947043398953
921,3.78,4.007340074164144
922,3.88,3.9306427124329013
923,4.0,3.924301921565507
924,3.88,3.6545565686531747
925,3.93,3.8510737203064003
926,3.82,3.838782261552933
927,3.58,3.9188147425182076
928,4.01,3.9659210437966332
929,3.96,3.8068908279350056
930,3.73,3.681938555464407
931,4.15,3.897414730346916
932,3.6,4.000388616917283
933,3.73,3.805721773489583
934,3.78,3.8750553847973186
935,4.1,3.9083712548663576
936,4.28,4.027039594211699
937,4.03,4.0147901748904875
938,3.45,3.7766966846397634
939,4.29,4.109961341445194
940,3.8,3.928054825118972
941,4.25,3.886661121311407
942,4.35,3.906688415899833
943,3.22,3.894039879145373
944,3.68,3.8896227582236134
945,4.2,4.109415294674482
946,3.86,3.8796955740456096
947,4.19,4.006663331819135
948,3.84,3.9954117763918773
949,3.38,3.977968139103759
950,4.16,3.9932958525258795
951,3.55,3.8710068619205766
952,3.52,3.7691232069656144
953,4.39,3.967324548324966
954,3.88,4.043207243567316
955,4.09,3.8873903827944276
956,3.95,3.9306365583795633
957,4.04,4.01120684081946
958,3.72,3.796183542650708
959,3.83,3.855054500373084
960,3.42,3.7834623059103643
961,3.33,3.8870640842123723
962,3.82,3.838075649089967
963,4.32,4.193886486901304
964,4.5,4.290690974871419
965,4.22,4.010692955581636
